region_name,year,vehicle_std,activity_km,share_activity,co2e_tonnes
Wales,2018,lgv,5116574662.0,0.1679618779947909,1035236.55136246
North West,2018,lgv,8472209496.0,0.1469005064668703,1714182.1473256801
London,2018,lgv,5246287466.0,0.1630528837737396,1061481.34299578
East of England,2018,lgv,10020394576.0,0.1645180638530054,2027426.43456208
Yorkshire and the Humber,2018,lgv,7177495466.0,0.1560731670615243,1452222.65763578
South East,2018,lgv,13561908180.0,0.1546573386531395,2743980.8820594
West Midlands,2018,lgv,8022881768.0,0.1540020388619443,1623269.66811944
North East,2018,lgv,3061125614.0,0.1554956059677089,619357.54548062
South West,2019,lgv,9233749184.0,0.159229163891479,1868264.47239872
East Midlands,2019,lgv,7095901928.0,0.1495211741406907,1435713.83709224
Scotland,2019,lgv,8276996554.0,0.1711992703451214,1674684.7127708201
Wales,2019,lgv,5140875696.0,0.1674108546632287,1040153.3795716801
North West,2019,lgv,8713288628.0,0.1480049861677583,1762959.68810324
London,2019,lgv,5253529496.0,0.1610911800555657,1062946.6229256801
East of England,2019,lgv,10121782996.0,0.1656644198426433,2047940.3535806802
Yorkshire and the Humber,2019,lgv,7364500774.0,0.1580385141388885,1490059.44160342
South East,2019,lgv,13701598892.0,0.1551127937355842,2772244.50381836
West Midlands,2019,lgv,8040262640.0,0.1532609362537579,1626786.3399512
North East,2019,lgv,3111015154.0,0.1522185912831213,629451.69610882
South West,2020,lgv,8300653852.0,0.185301081024764,1679471.29387516
East Midlands,2020,lgv,6467776526.0,0.1719999828808895,1308625.22450558
Scotland,2020,lgv,7397653178.0,0.1984030040788139,1496767.16750474
Wales,2020,lgv,4478471352.0,0.1909545669761409,906129.10865016
North West,2020,lgv,8153560176.0,0.1739673862656965,1649709.8304100803
London,2020,lgv,4630875850.0,0.1732014734915972,936965.1107305001
East of England,2020,lgv,9451814754.0,0.1933250821280209,1912385.67917682
Yorkshire and the Humber,2020,lgv,6698394948.0,0.179999481045175,1355286.24982884
South East,2020,lgv,12502479658.0,0.1831432835046807,2529626.7092031403
West Midlands,2020,lgv,7175564258.0,0.1767641928322232,1451831.91632114
North East,2020,lgv,2915480344.0,0.1799060547980575,589889.1380015201
South West,2021,lgv,9325320630.0,0.183316302480599,1886792.1230679
East Midlands,2021,lgv,7364661708.0,0.1742391647851233,1490092.0033796402
Scotland,2021,lgv,8744509824.0,0.2034789447076226,1769276.6726899203
Wales,2021,lgv,5137335148.0,0.1936297850916833,1039437.02049484
North West,2021,lgv,9057043652.0,0.173181194340331,1832511.64210916
London,2021,lgv,4808386052.0,0.16191141963768,972880.74990116
East of England,2021,lgv,10543108208.0,0.1942373946714579,2133187.0837246403
